@relation twitter-loc-most10-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute a numeric
@attribute i numeric
@attribute im numeric
@attribute lol numeric
@attribute me numeric
@attribute my numeric
@attribute rt numeric
@attribute the numeric
@attribute to numeric
@attribute u numeric
@attribute class {NewYork,California,Georgia}

@data
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,1,NewYork
0,0,0,1,0,0,2,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,1,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,1,1,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,1,2,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,0,1,0,0,NewYork
0,0,1,0,1,0,0,0,1,0,NewYork
0,0,0,0,0,0,1,0,0,1,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,1,0,0,1,NewYork
0,0,1,0,0,0,0,0,0,0,NewYork
0,0,0,0,0,0,0,1,0,1,NewYork
0,0,0,0,0,0,2,0,0,0,NewYork
0,0,0,0,0,0,2,0,0,0,NewYork
0,0,0,0,0,0,0,0,0,0,NewYork
0,1,0,1,0,0,0,0,0,0,NewYork
0,0,0,1,0,0,0,0,0,0,NewYork
0,1,0,1,0,0,0,1,0,0,California
0,1,0,0,0,1,0,1,0,0,California
0,0,0,0,1,0,1,0,0,0,California
0,1,0,1,0,0,0,0,1,0,California
0,0,0,1,0,0,0,0,0,0,California
1,1,0,1,0,0,1,0,0,1,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
1,0,0,0,0,0,0,0,1,0,California
0,0,0,0,0,0,0,1,0,0,California
0,0,1,0,0,0,0,0,1,0,California
0,0,0,0,0,1,0,0,0,0,California
0,1,0,2,0,0,1,0,0,0,California
0,0,0,0,0,0,0,1,0,0,California
1,0,1,0,0,0,0,0,0,0,California
0,0,0,0,0,0,0,0,0,0,California
0,0,0,0,0,0,1,0,0,0,California
0,1,1,0,1,1,0,1,1,0,California
0,2,0,0,0,0,0,1,1,0,California
0,2,0,0,0,0,0,2,1,0,California
0,1,0,0,0,0,1,0,0,0,California
0,0,0,0,0,0,1,0,0,0,California
1,1,2,0,0,0,0,0,0,0,California
0,0,0,0,0,1,0,0,0,0,California
